Tweet Count,Username,Text,Created_at,Retweets,Likes
14,Jade ♥🌹,"@douglasclark28 😂😂💀
Congratulations 🥳",Thu Dec 19 18:09:07 +0000 2024,0,1
2,Jade ♥🌹,@Felsie15 @Still_Felsie @arinda256 @MaserekaConfid1 @mukyalacaptain 😍😍,Wed Dec 18 16:48:27 +0000 2024,0,2
3,Jade ♥🌹,@RobinInnocentJr 😂😂😂😂kyoka dear🤣,Mon Dec 16 21:26:20 +0000 2024,0,0
12,Jade ♥🌹,@JessieJessy8 😂😂😂😂loss egyi🤣,Fri Dec 13 09:58:33 +0000 2024,0,0
11,Jade ♥🌹,@JessieJessy8 😂😂😂did you find yours? 🤣,Fri Dec 13 09:24:22 +0000 2024,0,0
4,Jade ♥🌹,@JessieJessy8 https://t.co/NCrOobuflC,Fri Dec 13 09:03:05 +0000 2024,0,0
7,Jade ♥🌹,@PeshK319 Some money🧎‍♀️‍➡️,Thu Dec 12 14:53:42 +0000 2024,0,0
9,Jade ♥🌹,@KatushabeJulius Land,Thu Nov 28 14:04:59 +0000 2024,0,1
19,Jade ♥🌹,@PeshK319 😂😂😂😂women💀,Wed Nov 27 11:16:03 +0000 2024,0,0
39,Jade ♥🌹,@PeshK319 🤣😂😂😂,Fri Nov 22 20:21:16 +0000 2024,0,0
16,Jade ♥🌹,@arinda256 😂😂😂😂😂,Sun Nov 17 16:03:23 +0000 2024,0,0
10,Jade ♥🌹,@PeshK319 @Enan_Rwaboona @nankunda_sarah 💃see you,Sat Nov 16 17:43:17 +0000 2024,0,0
8,Jade ♥🌹,"@PeshK319 @Enan_Rwaboona @nankunda_sarah Awww🥺❤️
Kati sasula",Sat Nov 16 17:10:50 +0000 2024,0,0
1,Jade ♥🌹,@RobinInnocentJr 😂😂😂we love to see it🤭,Sat Nov 16 11:28:25 +0000 2024,0,1
6,Jade ♥🌹,@RobinInnocentJr Ahaa🤭😂,Sat Nov 16 09:06:47 +0000 2024,0,0
